edge,status,evidence
retained_physics_bus_to_M0,NEW-REPRESENTATION,"no M0-M8 mechanism imports the retained Substrate or consumes SpikeInput; M0 consumes constructed RelationMotif plus successful"
M0_to_M1,FIXTURE-BOUND,"cumulative mechanisms exchange experiment-specific structs rather than common physical activity"
M2_to_M3,NEW-REPRESENTATION,"M3 Observation requires BoundaryRole CausalLink functional_relation and ordinary_consequence assembled by cumulative fixture glue"
M3_to_M7,FIXTURE-BOUND,"event/request ports call seeded stream and request encoders rather than consuming bus activity"
M7_to_M8,SEMANTIC-BOUNDARY,"closure execution consumes evaluator-built Episode and calls begin_episode/erase_temporary"
boundary_return_to_M6,FIXTURE-BOUND,"M6 synthesizes productive/contrast/raw histories from seed instead of receiving returned bus activity"
anonymous_bus_only,INSUFFICIENT,"a bus can route spikes but no existing one-to-one physical port connects those spikes to mechanism inputs"
continuous_scheduler_only,INSUFFICIENT,"a scheduler can order work but cannot derive the structured inputs required by frozen mechanisms"
first_collapse,retained_physics_bus_to_M0,"connecting raw activity requires choosing and implementing a new encoding/adapter"
classification,I0-C,"at least one mechanism input is not physically derivable from anonymous activity without a new cognitive representation"
