seed,stratum,suite,scenario,namespace,updates_a,updates_b,resistance_a,resistance_b,coupling_a,coupling_b,live_a,live_b,crossings_a,crossings_b,source_fires_a,source_fires_b,drive_deliveries,modulatory_deliveries,eligibility,modes,generations,work,accepts,path_edges,firings,deallocations,bytes,fingerprint,permanent,quiescent,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,replay,passed
6101,S00,law,ordinary-drive-after-participation,2028037654708224,0,0,1,1,1,1,true,true,1,0,1,0,7,0,a=Some(4)|b=None,candidate=Drive|return=Modulatory|distractors=Drive,a1|b1,135,0,0,5,0,1888,5143048908865401939,5211933447247970577,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6101,S00,law,modulation-without-eligibility,2028037655756800,0,0,1,1,1,1,true,true,0,0,0,0,1,1,a=None|b=None,candidate=Drive|return=Modulatory|distractors=Drive,a1|b1,27,0,0,1,0,1888,8560557070792397420,3972936351690496369,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6101,S00,law,timely-modulatory-return,2028037656805376,1,0,4,1,2,1,true,true,1,0,1,0,6,1,a=None|b=None,candidate=Drive|return=Modulatory|distractors=Drive,a1|b1,136,1,0,5,0,1888,5341429704984359061,9137748150071957759,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6101,S00,law,strong-modulation-does-not-excite,2028037657853952,0,0,1,1,1,1,true,true,0,0,0,0,1,1,a=None|b=None,strong_return=Modulatory:coupling4|candidate=Drive,a1|b1,28,0,0,1,0,2000,3534208057487579320,14236479579906776355,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6101,S00,law,dense-ordinary-nonleakage,2028037658902528,0,0,1,1,1,1,true,true,2,1,2,1,23,0,a=Some(5)|b=Some(5),candidate=Drive|return=Modulatory|distractors=Drive,a1|b1,520,0,0,16,0,1888,17028506426866184451,7224989419424933649,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6101,S00,law,fixed-routes-r0-drive-r1-modulatory,2028037659951104,1,0,4,1,2,1,true,true,1,0,1,0,8,1,a=None|b=None,r0=Drive|r1=Modulatory|candidate=Drive,a1|b1,185,1,0,6,0,2112,15490333392143226945,6174342023086847925,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6101,S00,law,fixed-routes-r0-modulatory-r1-drive,2028037660999680,1,0,4,1,2,1,true,true,1,0,1,0,8,1,a=None|b=None,r0=Modulatory|r1=Drive|candidate=Drive,a1|b1,185,1,0,6,0,2112,16734561669896943665,9155168416239744045,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6101,S00,law,two-completed-modulatory-returns,2028037662048256,1,0,6,0,2,1,true,false,2,0,2,0,12,2,a=None|b=None,candidate=Drive|return=Modulatory|distractors=Drive,a1|b2,313,2,0,10,1,1888,7680415457623558368,12431231163514493959,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6101,S00,law,two-local-eligible-candidates,2028037663096832,1,1,4,4,2,2,true,true,1,1,1,0,7,1,a=None|b=None,candidate=Drive|return=Modulatory|distractors=Drive,a1|b1,171,2,0,6,0,2000,13201297863986972477,4966619725699378749,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6101,S00,law,expired-eligibility-modulation,2028037664145408,0,0,0,1,1,1,false,true,1,0,1,0,6,1,a=None|b=None,candidate=Drive|return=Modulatory|distractors=Drive,a2|b1,137,0,0,5,1,1888,14767201750526569630,6836106336660170994,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
