stage,dependency,class,current_status,actual_source_or_audit_site,learner_or_action_consumed,effect,causal_status
0,exact enabling lineage,lineage,available,git HEAD ancestry and preregistered d154fde parent,no,exact parent verified,READY
0,frozen DS1 marked bytes,hard integrity,available,inclusive marked extraction from frozen DS-E0 source,read-only frozen_choice only,SHA-256 adec6a422e69e7f90bff6482776ea9aa91ae89e5e8d59183f6228165f9f7ff0e,READY
0,DS-E0 and M0 source continuity,hard integrity,available,git-show SHA-256 comparison to d154fde,no,all frozen paths byte-identical,READY
1,current anonymous event formation,organism-visible,available,unchanged DS-E0 E0-A raw activity path,yes by E0-B,16 of 16 GATE presentations per seed,READY
2,format-only Neighborhood serialization,organism-visible,available,unchanged serialize_once from EventRelations,yes by frozen_choice,96 of 96 exact copies per GATE seed plus one probe,READY
3,frozen DS1 Neighborhood consumption,organism-visible interface,available,existing DS-E0 probe invokes frozen_choice on just-serialized Neighborhood,yes read-only,one invocation per seed with no mature pattern,READY
4,two actual anonymous boundary-ordering actions,organism-visible hard,absent,derived ActionSurfaceInventory over exact frozen E0 SeedReport and GateReport type surfaces,no,zero exposed action-pair values and zero reachable choose calls,COLLAPSE
4,E0 candidate proposal and propagation surfaces,event-formation only,available,one proposal site plus RawActivity propagation and Candidate relation-shape surfaces,no DS1 choice consumed,these form evidence and do not expose an action value,NOT AN ACTION ALTERNATIVE
4,M0 correspondence execution surfaces,M0 private execution,available,execute_resolution execute and execute_compiled_or_generic signatures,no DS1 choice consumed,three execution surfaces but zero accept Neighborhood choice usize or action pair,INCOMPATIBLE TYPE SURFACE
4,composition output lifetime and values,owned audit summary,available,owned SeedReport and GateReport with no borrowed handles or callbacks,no,zero action-pair fields exported across boundary,NO ACTION SURFACE
4,DS1 choice index correctness,evaluator semantic,forbidden,no mapping is present or added,no,index 0 or 1 is never interpreted as correctness,FORBIDDEN
4,isolated synthetic two-route fixture,isolated fixture,forbidden,not present in new wiring,no,isolated fixture was not recreated,FORBIDDEN
5,selected DS1 action physical execution,organism-visible hard,unavailable after stage 4,zero DS1-choice-to-M0-or-E0 execution paths derived from frozen calls and signatures,no,no execution work assigned,BLOCKED
6,route-contingent ordinary consequence at compatible scope,organism-visible hard,unavailable after stage 4,zero reachable apply_consequence calls and zero post-action consequence paths,no,no consequence work assigned,BLOCKED
7,unchanged DS1 acquisition and consolidation,organism-visible hard,unavailable after stage 4,frozen choose/apply_consequence are not invoked,no,no persistent DS1 state allocated,BLOCKED
8,fresh relabel and layout transfer,development control,unavailable after stage 4,DS-E0 controls pass but DS1 acquisition prerequisite is absent,no,no DS1 transfer claim,BLOCKED
9,contradiction invalidation and generic reopening,organism-visible hard,unavailable after stage 4,frozen lifecycle remains byte-identical but is not invoked,no,no DS1 lifecycle work assigned,BLOCKED
10,cumulative functional recovery,functional outcome,unavailable after stage 4,no action or consequence trajectory exists,no,no recovery claim,BLOCKED
all,adapter route target boundary label source target consume produce meaning,forbidden,absent,new source and call graph audit,no,zero channel,FORBIDDEN
all,filler SAME stable identity event or window truth,forbidden,absent,new source and frozen continuity audit,no,zero channel,FORBIDDEN
all,evaluator membership expected action answer economics fallback,forbidden,absent,new source and call graph audit,no,zero channel,FORBIDDEN
all,evaluator route-contingent consequence adapter,forbidden,absent,no evaluator callback or consequence path in composition harness,no,zero channel,FORBIDDEN
