stage,dependency,source,prior_stage4_state,current_state,runtime_count,outcome
0,exact readiness lineage,git parent/tag,DS-E0 readiness parent,DS-A0 readiness parent ad503db,1,READY
1,learned temporary relation,frozen E0 form,available,actual target EventRelations plus three actual support relations,4 formations per seed,READY
2,format-only Neighborhood,frozen E0 serialize_once,available,exact target serialization and read-only frozen DS1 consumption,1 serialization and 1 consumption per seed,READY
3,plastic executable route,frozen A0 form_routes,no cumulative compatible route,one route installed from exact E0 episode after three exact E0 support exports,1 root per seed,READY
4,opaque alternative multiplicity,frozen A0 expose_routes,zero exported pairs,one handle one-to-one to one real root,1 handle per seed,COLLAPSE alternatives not greater than one
5,frozen DS1 mutable choice,frozen Learner choose,unreachable,source edge present but causally blocked by stage 4,0 calls per seed,BLOCKED
6,selected ordinary execution,frozen A0 execute_handle,unreachable,source edge present but no selected action,0 selected executions per seed,BLOCKED
7,parent consequence visibility,reachable post-execution call graph,zero path,zero observation edges and zero parent consequence paths,0 visibility events per seed,BLOCKED
8,unchanged DS1 update,frozen Learner apply_consequence,zero calls,definition present and call edge absent,0 updates per seed,BLOCKED
9,held-out reconstruction/functional controls,downstream frozen DS1,unavailable,not reached after first collapse,,BLOCKED
10,invalidation/reopening/reconsolidation,downstream frozen DS1,unavailable,not reached after first collapse,,BLOCKED
11,recursive compatibility/economics,parent substrate,not naturally available,not reached and not synthesized,,BLOCKED
