seed,sequence,exact,initial,expected,predicted,fingerprint_before,fingerprint_after,step,action,source_roles,result
0,single-0,true,14872784523178573717|13983408181645089951|11370379639426047613|17067979790502704631|14653176611757920565|13481359223841574929,14872784523178573717|13983408181645089951|11370379639426047613|17067979790502704631|14653176611757920565|13481359223841574929,14872784523178573717|13983408181645089951|11370379639426047613|17067979790502704631|14653176611757920565|13481359223841574929,8571606393682740567,8571606393682740567,1,12379188883074871056,0|1|2|3|4|5,14872784523178573717|13983408181645089951|11370379639426047613|17067979790502704631|14653176611757920565|13481359223841574929
0,repeat-0,true,8181442138485089746|16930721014299677587|10691862487147804792|11641660079950734814|17770909286563592226|17763946633884902303,8181442138485089746|16930721014299677587|10691862487147804792|11641660079950734814|17770909286563592226|17763946633884902303,8181442138485089746|16930721014299677587|10691862487147804792|11641660079950734814|17770909286563592226|17763946633884902303,8571606393682740567,8571606393682740567,1,12379188883074871056,0|1|2|3|4|5,8181442138485089746|16930721014299677587|10691862487147804792|11641660079950734814|17770909286563592226|17763946633884902303
0,repeat-0,true,8181442138485089746|16930721014299677587|10691862487147804792|11641660079950734814|17770909286563592226|17763946633884902303,8181442138485089746|16930721014299677587|10691862487147804792|11641660079950734814|17770909286563592226|17763946633884902303,8181442138485089746|16930721014299677587|10691862487147804792|11641660079950734814|17770909286563592226|17763946633884902303,8571606393682740567,8571606393682740567,2,12379188883074871056,0|1|2|3|4|5,8181442138485089746|16930721014299677587|10691862487147804792|11641660079950734814|17770909286563592226|17763946633884902303
0,single-1,true,13328902900645242696|1331848361007913732|15672622541861592535|1721704259130002698|3463728603136215538|17491314287529039124,1331848361007913732|13328902900645242696|15672622541861592535|1721704259130002698|3463728603136215538|17491314287529039124,1331848361007913732|13328902900645242696|15672622541861592535|1721704259130002698|3463728603136215538|17491314287529039124,8571606393682740567,8571606393682740567,1,8090773787923290076,1|0|2|3|4|5,1331848361007913732|13328902900645242696|15672622541861592535|1721704259130002698|3463728603136215538|17491314287529039124
0,repeat-1,true,14808558069360209427|7617714650509610242|4070552075304114455|9292167501283527069|3521492365816571155|10206150615525350800,14808558069360209427|7617714650509610242|4070552075304114455|9292167501283527069|3521492365816571155|10206150615525350800,14808558069360209427|7617714650509610242|4070552075304114455|9292167501283527069|3521492365816571155|10206150615525350800,8571606393682740567,8571606393682740567,1,8090773787923290076,1|0|2|3|4|5,7617714650509610242|14808558069360209427|4070552075304114455|9292167501283527069|3521492365816571155|10206150615525350800
0,repeat-1,true,14808558069360209427|7617714650509610242|4070552075304114455|9292167501283527069|3521492365816571155|10206150615525350800,14808558069360209427|7617714650509610242|4070552075304114455|9292167501283527069|3521492365816571155|10206150615525350800,14808558069360209427|7617714650509610242|4070552075304114455|9292167501283527069|3521492365816571155|10206150615525350800,8571606393682740567,8571606393682740567,2,8090773787923290076,1|0|2|3|4|5,14808558069360209427|7617714650509610242|4070552075304114455|9292167501283527069|3521492365816571155|10206150615525350800
0,single-2,true,137425520076406030|16353615286179823380|9699659356595841556|5265713709817673867|9968555976942487421|12676617293839580869,16353615286179823380|9699659356595841556|137425520076406030|5265713709817673867|9968555976942487421|12676617293839580869,16353615286179823380|9699659356595841556|137425520076406030|5265713709817673867|9968555976942487421|12676617293839580869,8571606393682740567,8571606393682740567,1,6310588847493140003,1|2|0|3|4|5,16353615286179823380|9699659356595841556|137425520076406030|5265713709817673867|9968555976942487421|12676617293839580869
0,repeat-2,true,11897487919509576484|18201526697119130874|15688621043985456825|13402389860441397759|12857676255220510777|494252398501488715,15688621043985456825|11897487919509576484|18201526697119130874|13402389860441397759|12857676255220510777|494252398501488715,15688621043985456825|11897487919509576484|18201526697119130874|13402389860441397759|12857676255220510777|494252398501488715,8571606393682740567,8571606393682740567,1,6310588847493140003,1|2|0|3|4|5,18201526697119130874|15688621043985456825|11897487919509576484|13402389860441397759|12857676255220510777|494252398501488715
0,repeat-2,true,11897487919509576484|18201526697119130874|15688621043985456825|13402389860441397759|12857676255220510777|494252398501488715,15688621043985456825|11897487919509576484|18201526697119130874|13402389860441397759|12857676255220510777|494252398501488715,15688621043985456825|11897487919509576484|18201526697119130874|13402389860441397759|12857676255220510777|494252398501488715,8571606393682740567,8571606393682740567,2,6310588847493140003,1|2|0|3|4|5,15688621043985456825|11897487919509576484|18201526697119130874|13402389860441397759|12857676255220510777|494252398501488715
0,single-3,true,6984847187813858570|17874658307750238122|9187033994095291964|18343167126633125808|10887693683236523758|5256205040945252847,9187033994095291964|6984847187813858570|17874658307750238122|18343167126633125808|10887693683236523758|5256205040945252847,9187033994095291964|6984847187813858570|17874658307750238122|18343167126633125808|10887693683236523758|5256205040945252847,8571606393682740567,8571606393682740567,1,10070300935264280721,2|0|1|3|4|5,9187033994095291964|6984847187813858570|17874658307750238122|18343167126633125808|10887693683236523758|5256205040945252847
