row_id,stage,family,spec_fingerprint,b_effect,e_effect,prediction_diff,b_false_conjunction,e_false_conjunction,b_row_pass,e_row_pass,b_work,e_work,b_persistent_bytes,e_persistent_bytes,b_quiescent,e_quiescent
f1-aa-same-tick-s211-m0-r0-t2-c1-l0-d0-tr0-a2,micro,same_source_bursts,14667104192331537102,1,1,false,true,true,false,false,21,19,160,160,true,true
f1-aa-spacing-s211-m0-r0-t2-c1-l0-d-1-tr0-a2,micro,same_source_bursts,11614905342137347078,0,0,false,false,false,true,true,9,9,160,160,true,true
f1-ab-distinct-s211-m0-r0-t2-c1-l0-d-1-tr0-a2,micro,same_source_bursts,8652912572618782068,0,0,false,false,false,true,true,14,19,272,272,true,true
f1-aa-spacing-s211-m0-r0-t2-c1-l0-d0-tr0-a2,micro,same_source_bursts,4007949028781323994,1,1,false,true,true,false,false,21,19,160,160,true,true
f1-ab-distinct-s211-m0-r0-t2-c1-l0-d0-tr0-a2,micro,same_source_bursts,4154695187031192561,1,1,false,false,false,true,true,35,30,272,272,true,true
f1-aa-spacing-s211-m0-r0-t2-c1-l0-d1-tr0-a2,micro,same_source_bursts,15724344218951018470,0,0,false,false,false,true,true,9,9,160,160,true,true
f1-ab-distinct-s211-m0-r0-t2-c1-l0-d1-tr0-a2,micro,same_source_bursts,12318266379788325030,0,0,false,false,false,true,true,14,18,272,272,true,true
f1-aa-spacing-s211-m0-r0-t2-c1-l0-d2-tr0-a2,micro,same_source_bursts,16582246026332839830,0,0,false,false,false,true,true,9,9,160,160,true,true
f1-ab-distinct-s211-m0-r0-t2-c1-l0-d2-tr0-a2,micro,same_source_bursts,5529782971152232270,0,0,false,false,false,true,true,14,18,272,272,true,true
f1-aa-spacing-s211-m0-r0-t2-c1-l0-d3-tr0-a2,micro,same_source_bursts,16553832596632666818,0,0,false,false,false,true,true,9,9,160,160,true,true
f1-ab-distinct-s211-m0-r0-t2-c1-l0-d3-tr0-a2,micro,same_source_bursts,16699351856085690070,0,0,false,false,false,true,true,14,18,272,272,true,true
f1-aa-spacing-s211-m0-r0-t2-c1-l0-d4-tr0-a2,micro,same_source_bursts,6435737171038488354,0,0,false,false,false,true,true,9,9,160,160,true,true
f1-ab-distinct-s211-m0-r0-t2-c1-l0-d4-tr0-a2,micro,same_source_bursts,17440828041427617238,0,0,false,false,false,true,true,14,18,272,272,true,true
f1-aa-spacing-s211-m0-r0-t2-c1-l0-d5-tr0-a2,micro,same_source_bursts,1802688018114077702,0,0,false,false,false,true,true,9,9,160,160,true,true
f1-ab-distinct-s211-m0-r0-t2-c1-l0-d5-tr0-a2,micro,same_source_bursts,992012934999076390,0,0,false,false,false,true,true,14,18,272,272,true,true
f1-one-path-s211-m0-r0-t2-c1-l0-d1-tr0-a2,micro,same_source_bursts,17844846105153447543,0,0,false,false,false,true,true,19,29,272,272,true,true
f1-a-burst-4-s211-m0-r0-t2-c1-l0-d4-tr0-a2,micro,same_source_bursts,2346959327217172250,0,0,false,false,false,true,true,19,29,272,272,true,true
