dependency,visibility,source,lifetime,used_by,notes
fresh execution pulse,organism,actual selected A1 route execution,temporary,eligibility formation,physical SPIKE occurrence identity only
local pulse tick,organism,actual route activity,temporary,eligibility expiry and evidence lag,no global clock or episode ID
physical propagation,organism,actual live A1 route,temporary,root discovery and path validation,directional substrate physics retained
R0 evidence members,organism,actual temporary R0 relation,temporary,evidence encounter,one-to-one copied physical occurrences
R0 evidence lag,organism,actual temporary R0 relation,temporary,temporal continuity,no outcome meaning
R0 evidence hops,organism,actual temporary R0 relation,temporary,propagation continuity,no causal annotation beyond physical route
temporary local CELL state,organism,basal mutable substrate,temporary,eligibility trace,zero persistent bytes
temporary local ARROW state,organism,basal plastic substrate,temporary,evidence coupling,erased at cleanup
opaque choice index,evaluator/access wrapper,frozen DS1 choice,temporary,control reporting only,never enters Workspace
evaluator effect,evaluator,frozen A1 trace fingerprint,evaluator-only,handle-permutation control,never enters Workspace
seed/economic/pass-fail,evaluator,harness,evaluator-only,reporting,never organism-visible
outcome direction,absent,none,none,none,no good/bad/correct/wrong signal
DS1 update coupling,absent,none,none,none,separate future retry target
boundary-role strength,absent,none,none,none,not observed or mutated
held-out reconstruction,absent,none,none,none,not executed
