row_id,stage,family,spec_fingerprint,b_effect,e_effect,prediction_diff,b_false_conjunction,e_false_conjunction,b_row_pass,e_row_pass,b_work,e_work,b_persistent_bytes,e_persistent_bytes,b_quiescent,e_quiescent
coverage-correction-v2-burst-4-s1101-m0-r0-t2-c1-l0-d1-tr0-a2,probe,same_source_bursts,15714203352338527116,0,0,false,false,false,true,true,42,67,272,272,true,true
coverage-correction-v2-blocked-late-return-s1101-m0-r0-t2-c1-l0-d0-tr0-a6,probe,dense_return_topology,9656497399797362830,1,1,false,false,false,true,true,66,65,832,832,true,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c1-l0-d-1-tr0-a2,probe,timing_transfer,10233121686676802305,0,0,false,false,false,true,true,62,67,272,272,true,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c1-l0-d0-tr0-a2,probe,timing_transfer,11705136086824969577,1,1,false,false,false,true,true,83,78,272,272,true,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c1-l0-d1-tr0-a2,probe,timing_transfer,15985120067311471151,0,0,false,false,false,true,true,62,66,272,272,true,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c1-l0-d2-tr0-a2,probe,timing_transfer,11847445083134134713,0,0,false,false,false,true,true,62,66,272,272,true,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c1-l0-d3-tr0-a2,probe,timing_transfer,6963640009977641899,0,0,false,false,false,true,true,62,66,272,272,true,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c1-l0-d4-tr0-a2,probe,timing_transfer,14800479874225124473,0,0,false,false,false,true,true,62,66,272,272,true,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c1-l0-d5-tr0-a2,probe,timing_transfer,4322949470174232367,0,0,false,false,false,true,true,62,66,272,272,true,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c1-l0-d-1-tr2-a2,probe,timing_transfer,7861134485913738117,0,0,false,false,false,true,true,39,54,272,272,true,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c1-l0-d0-tr2-a2,probe,timing_transfer,3074649030666164045,1,1,false,false,false,true,true,60,65,272,272,true,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c1-l0-d1-tr2-a2,probe,timing_transfer,13218300110127587935,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c1-l0-d2-tr2-a2,probe,timing_transfer,9956253196581008325,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c1-l0-d3-tr2-a2,probe,timing_transfer,9199671394397237435,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c1-l0-d4-tr2-a2,probe,timing_transfer,18078738566373092933,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c1-l0-d5-tr2-a2,probe,timing_transfer,5231339914739747887,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c1-l0-d-1-tr4-a2,probe,timing_transfer,4979450129510239161,0,0,false,false,false,true,true,39,54,272,272,true,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c1-l0-d0-tr4-a2,probe,timing_transfer,12945375960177440737,1,1,false,false,false,true,true,60,65,272,272,true,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c1-l0-d1-tr4-a2,probe,timing_transfer,15784665794114011815,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c1-l0-d2-tr4-a2,probe,timing_transfer,15424472880598072953,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c1-l0-d3-tr4-a2,probe,timing_transfer,16730401560145936451,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c1-l0-d4-tr4-a2,probe,timing_transfer,2521952401003816993,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c1-l0-d5-tr4-a2,probe,timing_transfer,17032691472307675863,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-contemporary-reversal-s1101-m0-r0-t2-c1-l0-d0-tr0-a2,probe,shared_control,16992723679763138523,2,4,true,false,false,false,false,550,853,912,848,true,true
coverage-correction-v2-burst-4-s1101-m0-r0-t2-c2-l0-d1-tr0-a2,probe,same_source_bursts,13536086236328990790,4,2,true,true,true,false,false,140,94,272,272,true,true
coverage-correction-v2-blocked-late-return-s1101-m0-r0-t2-c2-l0-d0-tr0-a6,probe,dense_return_topology,16794060740477515230,1,1,false,false,false,true,true,96,65,832,832,true,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c2-l0-d-1-tr0-a2,probe,timing_transfer,6799306447602796397,1,1,false,false,false,true,true,107,79,272,272,true,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c2-l0-d0-tr0-a2,probe,timing_transfer,5684592707393038939,1,1,false,false,false,true,true,105,78,272,272,true,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c2-l0-d1-tr0-a2,probe,timing_transfer,18378164961679833321,1,0,true,false,false,true,true,104,66,272,272,true,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c2-l0-d2-tr0-a2,probe,timing_transfer,7608515642986291199,1,0,true,false,false,true,true,104,66,272,272,true,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c2-l0-d3-tr0-a2,probe,timing_transfer,2903613194221028089,1,0,true,false,false,true,true,104,66,272,272,true,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c2-l0-d4-tr0-a2,probe,timing_transfer,617186880944237411,1,0,true,false,false,true,true,104,66,272,272,true,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c2-l0-d5-tr0-a2,probe,timing_transfer,12818784111021539177,1,0,true,false,false,true,true,104,66,272,272,true,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c2-l0-d-1-tr2-a2,probe,timing_transfer,2975077523709006325,1,1,false,false,false,true,true,106,79,272,272,true,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c2-l0-d0-tr2-a2,probe,timing_transfer,3672394543309543371,1,1,false,false,false,true,true,104,78,272,272,true,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c2-l0-d1-tr2-a2,probe,timing_transfer,9144814994933029717,1,0,true,false,false,true,true,103,66,272,272,true,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c2-l0-d2-tr2-a2,probe,timing_transfer,1617315917757621007,1,0,true,false,false,true,true,103,66,272,272,true,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c2-l0-d3-tr2-a2,probe,timing_transfer,1813926458598636125,1,0,true,false,false,true,true,103,66,272,272,true,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c2-l0-d4-tr2-a2,probe,timing_transfer,6167791170843678723,1,0,true,false,false,true,true,103,66,272,272,true,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c2-l0-d5-tr2-a2,probe,timing_transfer,16532917789972483773,1,0,true,false,false,true,true,103,66,272,272,true,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c2-l0-d-1-tr4-a2,probe,timing_transfer,12740925885292097341,1,1,false,false,false,true,true,106,79,272,272,true,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c2-l0-d0-tr4-a2,probe,timing_transfer,15410872179853812627,1,1,false,false,false,true,true,104,78,272,272,true,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c2-l0-d1-tr4-a2,probe,timing_transfer,9247409423828485289,1,0,true,false,false,true,true,103,66,272,272,true,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c2-l0-d2-tr4-a2,probe,timing_transfer,13075373482232854967,1,0,true,false,false,true,true,103,66,272,272,true,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c2-l0-d3-tr4-a2,probe,timing_transfer,9180072852153475569,1,0,true,false,false,true,true,103,66,272,272,true,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c2-l0-d4-tr4-a2,probe,timing_transfer,4233877851963564587,1,0,true,false,false,true,true,103,66,272,272,true,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c2-l0-d5-tr4-a2,probe,timing_transfer,9176451457943140585,1,0,true,false,false,true,true,103,66,272,272,true,true
coverage-correction-v2-contemporary-reversal-s1101-m0-r0-t2-c2-l0-d0-tr0-a2,probe,shared_control,16559480476478805227,2,4,true,false,false,false,false,584,853,912,848,true,true
