dependency,after_r0_retry,after_c0_retry,status,interpretation
anonymous_event_structure,present,present,READY,E0 remains sufficient
executable_affordance_multiplicity,present,present,READY,A1 remains sufficient
opaque_choice_and_execution,present,present,READY,Frozen DS1 chooses and physical route executes
post_action_evidence_surface,present,present,READY,R0 remains sufficient
evidence_to_choice_temporal_ownership,absent,present,READY,C0 repaired the prior disconnected-evidence dependency
polarity_or_update_direction,absent,absent,NOT_INVOKED,C0 intentionally supplies no favorable or unfavorable direction
coupling_to_frozen_ds1_update_path,absent,absent,COLLAPSE,One coupling exists but no reachable apply_consequence edge or runtime update exists
boundary_strength_divergence,blocked,blocked,BLOCKED,Not observed after stage-8b collapse
held_out_boundary_role_reconstruction,blocked,blocked,BLOCKED,Not executed after stage-8b collapse
cumulative_prefix,M0,M0,UNCHANGED,E0+A0+A1+R0+C0 remain enabling-only and M1 is absent
