dependency,scope,status,detail
M0 learned correspondence,frozen lineage,required,authoritative ancestor remains unchanged
DS-E0 event formation,frozen lineage,required,actual anonymous event ancestry enters frozen A1
DS-A0/A1 affordances,organism-visible,required,two actual learned executable route shapes
DS-R0/C0 attribution,frozen mechanical bridge,required,associates delayed activity with the preceding affordance without ranking
DS-D2 causal attribution,frozen lineage,required,separates action identity from later D3 contrast
local temporal precedence,substrate physics,required,rejects evidence before the downstream delay
directional propagation,substrate physics,required,physically emits each consequence and D3 direction
ordinary downstream consequence shape,organism-visible,required,temporal rank propagation adjacency and activation only
consequence recurrence counts,organism-visible learned state,required,role-relative counts with no occurrence identities
environment schedule,evaluator-only,allowed,constructs matched physical positive and negative control worlds
recurrent slot,evaluator-only,forbidden from learner,used only to score the development probe
immediate route effect,evaluator-only for control,forbidden from contrast score,proves both routes execute but never enters direction function
occurrence identities,physical temporary only,forbidden from persistence,fresh IDs normalize away before observation
opaque handles,bridge-local only,forbidden from persistence,no handle enters ContrastLearner
boundary-role truth,evaluator-only,absent,DS-D3 does not test or expose boundary roles
good bad correct wrong reward polarity,absent,forbidden,no semantic field or update edge
frozen DS1,hash audit only,not invoked,zero calls and zero updates
economics,unavailable,blocked,no cumulative reintegration or mature-use claim

