original_category,primary_kind,layer,path,line,match,semantic_risk,evaluator_input_risk,source_line
"begin_episode","episode_reset_boundary","PX8","src/post_m7_ds5_closure_emission.rs",573,"begin_episode",0,0,"    operation.lookup.begin_episode();"
"erase_temporary","manual_temporary_cleanup","PX8","src/post_m7_ds5_closure_emission.rs",637,"erase_temporary",0,0,"    operation.lookup.erase_temporary();"
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX8","src/post_m7_ds5_closure_emission.rs",169,"frozen_m6::credit_gate(",0,1,"        Credit(frozen_m6::credit_gate(seed))"
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX8","src/post_m7_ds5_closure_emission.rs",173,"frozen_m6::apply_recurrence(",0,0,"        frozen_m6::apply_recurrence(&mut credit.0, activity)"
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX8","src/post_m7_ds5_closure_emission.rs",177,"frozen_m6::credit_state(",0,0,"        let state = frozen_m6::credit_state(&credit.0);"
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX8","src/post_m7_ds5_closure_emission.rs",186,"frozen_m6::controls(",1,1,"            passed: frozen_m6::controls(seed).passed(),"
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX8","src/post_m7_ds5_closure_emission.rs",217,"frozen_m3::ds4_event_gate(",0,1,"        frozen_m3::ds4_event_gate(seed, 2).map(Gate)"
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX8","src/post_m7_ds5_closure_emission.rs",227,"frozen_m3::event_completion_activity(",0,1,"        let activity = frozen_m3::event_completion_activity(&mut gate.0, seed, fixture);"
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX8","src/post_m7_ds5_closure_emission.rs",237,"frozen_m3::ds4_event_state(",0,0,"        let state = frozen_m3::ds4_event_state(&gate.0);"
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX8","src/post_m7_ds5_closure_emission.rs",318,"frozen_cumulative::differential(",0,0,"        let update = consequence && frozen_cumulative::differential(credit, connected);"
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX8","src/post_m7_ds5_closure_emission.rs",456,"frozen_event::gate(",0,1,"        let event = frozen_event::gate(seed)?;"
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX8","src/post_m7_ds5_closure_emission.rs",460,"frozen_cumulative::credit(",0,1,"            credit: frozen_cumulative::credit(seed + 20_000),"
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX8","src/post_m7_ds5_closure_emission.rs",465,"frozen_event::activity(",0,0,"            let activity = frozen_event::activity("
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX8","src/post_m7_ds5_closure_emission.rs",494,"frozen_event::activity(",0,1,"        let activity = frozen_event::activity(&mut self.event, seed, fixture);"
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX8","src/post_m7_ds5_closure_emission.rs",511,"frozen_event::state(",0,0,"            frozen_event::state(&self.event),"
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX8","src/post_m7_ds5_closure_emission.rs",512,"frozen_cumulative::state(",0,0,"            frozen_cumulative::state(&self.credit),"
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX8","src/post_m7_ds5_closure_emission.rs",526,"frozen_event::gate(",0,1,"            event: frozen_event::gate(seed)?,"
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX8","src/post_m7_ds5_closure_emission.rs",528,"frozen_cumulative::credit(",0,1,"            credit: frozen_cumulative::credit(seed + 20_000),"
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX8","src/post_m7_ds5_closure_emission.rs",535,"frozen_event::state(",0,0,"            frozen_event::state(&self.event),"
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX8","src/post_m7_ds5_closure_emission.rs",536,"frozen_cumulative::state(",0,0,"            frozen_cumulative::state(&self.credit),"
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX8","src/post_m7_ds5_closure_emission.rs",607,"frozen_event::activity(",0,1,"                let activity = frozen_event::activity(&mut path.event, seed, fixture);"
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX8","src/post_m7_ds5_closure_emission.rs",824,"frozen_cumulative::state(",0,0,"        observations += frozen_cumulative::state(&path.credit).observations;"
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX8","src/post_m7_ds5_closure_emission.rs",949,"frozen_cumulative::controls(",1,1,"        control_results[5] &= frozen_cumulative::controls(seed + 800_000).passed;"
"seed_built_development","evaluator_derived_input","PX8","src/post_m7_ds5_closure_emission.rs",264,"session(seed",0,1,"    pub(super) fn session(seed: u64) -> Session {"
"seed_built_development","evaluator_derived_input","PX8","src/post_m7_ds5_closure_emission.rs",459,"session(seed",0,1,"            role: anonymous_role::session(seed + 10_000),"
"seed_built_development","evaluator_derived_input","PX8","src/post_m7_ds5_closure_emission.rs",527,"session(seed",0,1,"            role: anonymous_role::session(seed + 10_000),"
"typed_episode","typed_representation","PX8","src/post_m7_ds5_closure_emission.rs",364,"Episode",0,0,"struct Episode {"
"typed_episode","typed_representation","PX8","src/post_m7_ds5_closure_emission.rs",401,"Episode",0,0,") -> Episode {"
"typed_episode","typed_representation","PX8","src/post_m7_ds5_closure_emission.rs",411,"Episode",0,0,"    Episode {"
"typed_episode","typed_representation","PX8","src/post_m7_ds5_closure_emission.rs",418,"Episode",0,0,"fn duplicate_episode(identities: &mut IdentitySource) -> Episode {"
"typed_episode","typed_representation","PX8","src/post_m7_ds5_closure_emission.rs",421,"Episode",0,0,"    Episode {"
"typed_episode","typed_representation","PX8","src/post_m7_ds5_closure_emission.rs",428,"Episode",0,0,"fn branch_episode(identities: &mut IdentitySource) -> Episode {"
"typed_episode","typed_representation","PX8","src/post_m7_ds5_closure_emission.rs",430,"Episode",0,0,"    Episode {"
"typed_episode","typed_representation","PX8","src/post_m7_ds5_closure_emission.rs",437,"Episode",0,0,"fn cycle_episode(identities: &mut IdentitySource) -> Episode {"
"typed_episode","typed_representation","PX8","src/post_m7_ds5_closure_emission.rs",440,"Episode",0,0,"    Episode {"
"typed_episode","typed_representation","PX8","src/post_m7_ds5_closure_emission.rs",464,"episode",0,0,"        for episode in 1..=4_000usize {"
"typed_episode","typed_representation","PX8","src/post_m7_ds5_closure_emission.rs",467,"episode",0,1,"                seed + episode as u64,"
"typed_episode","typed_representation","PX8","src/post_m7_ds5_closure_emission.rs",481,"episode",0,0,"                competence = episode;"
"typed_episode","typed_representation","PX8","src/post_m7_ds5_closure_emission.rs",562,"Episode",0,0,"    episode: &Episode,"
"typed_episode","typed_representation","PX8","src/post_m7_ds5_closure_emission.rs",562,"episode",0,0,"    episode: &Episode,"
"typed_episode","typed_representation","PX8","src/post_m7_ds5_closure_emission.rs",574,"episode",0,0,"    for &(left, right) in &episode.relations {"
"typed_episode","typed_representation","PX8","src/post_m7_ds5_closure_emission.rs",577,"episode",0,0,"    let mut queue = VecDeque::from([episode.query]);"
"typed_episode","typed_representation","PX8","src/post_m7_ds5_closure_emission.rs",682,"episode",1,0,"        [""episode"", "".terminal""].concat(),"
"typed_episode","typed_representation","PX8","src/post_m7_ds5_closure_emission.rs",796,"episode",0,0,"            let episode = chain_episode(&mut identities, &mut rng, depth, 3);"
"typed_episode","typed_representation","PX8","src/post_m7_ds5_closure_emission.rs",798,"episode",0,0,"                &episode,"
"typed_episode","typed_representation","PX8","src/post_m7_ds5_closure_emission.rs",819,"episode",0,0,"        if let Some(episode) = learned_at {"
"typed_episode","typed_representation","PX8","src/post_m7_ds5_closure_emission.rs",821,"episode",0,0,"            competence.push(episode);"
"typed_episode","typed_representation","PX8","src/post_m7_ds5_closure_emission.rs",833,"episode",0,0,"            let episode = chain_episode(&mut identities, &mut rng, depth, held_index % 5);"
"typed_episode","typed_representation","PX8","src/post_m7_ds5_closure_emission.rs",837,"episode",0,0,"                &episode,"
"typed_episode","typed_representation","PX8","src/post_m7_ds5_closure_emission.rs",852,"episode",1,0,"            correct += usize::from(run.crossings == [episode.terminal]);"
"typed_history","typed_representation","PX8","src/post_m7_ds5_closure_emission.rs",1004,"history",0,1,"        ""M6-history-controls"","
"typed_history","typed_representation","PX8","src/post_m7_ds5_closure_emission.rs",578,"history",0,0,"    let mut history = HashSet::new();"
"typed_history","typed_representation","PX8","src/post_m7_ds5_closure_emission.rs",582,"history",0,0,"        if !history.insert(current) {"
"typed_layer_handoff","typed_handoff","PX8","src/post_m7_ds5_closure_emission.rs",129,"FROZEN_M7_HANDOFF_SHA256",0,0,"        && env!(""POST_M7_DS5_M7_HANDOFF_SHA256"") == FROZEN_M7_HANDOFF_SHA256"
"typed_layer_handoff","typed_handoff","PX8","src/post_m7_ds5_closure_emission.rs",149,"frozen_cumulative",0,0,"mod frozen_cumulative {"
"typed_layer_handoff","typed_handoff","PX8","src/post_m7_ds5_closure_emission.rs",155,"frozen_m6",0,0,"    pub(super) struct Credit(frozen_m6::CreditGate);"
"typed_layer_handoff","typed_handoff","PX8","src/post_m7_ds5_closure_emission.rs",169,"frozen_m6",0,1,"        Credit(frozen_m6::credit_gate(seed))"
"typed_layer_handoff","typed_handoff","PX8","src/post_m7_ds5_closure_emission.rs",173,"frozen_m6",0,0,"        frozen_m6::apply_recurrence(&mut credit.0, activity)"
"typed_layer_handoff","typed_handoff","PX8","src/post_m7_ds5_closure_emission.rs",177,"frozen_m6",0,0,"        let state = frozen_m6::credit_state(&credit.0);"
"typed_layer_handoff","typed_handoff","PX8","src/post_m7_ds5_closure_emission.rs",186,"frozen_m6",1,1,"            passed: frozen_m6::controls(seed).passed(),"
"typed_layer_handoff","typed_handoff","PX8","src/post_m7_ds5_closure_emission.rs",192,"frozen_event",0,0,"mod frozen_event {"
"typed_layer_handoff","typed_handoff","PX8","src/post_m7_ds5_closure_emission.rs",214,"frozen_m3",0,0,"    pub(super) struct Gate(frozen_m3::Ds4EventGate);"
"typed_layer_handoff","typed_handoff","PX8","src/post_m7_ds5_closure_emission.rs",217,"frozen_m3",0,1,"        frozen_m3::ds4_event_gate(seed, 2).map(Gate)"
"typed_layer_handoff","typed_handoff","PX8","src/post_m7_ds5_closure_emission.rs",227,"frozen_m3",0,1,"        let activity = frozen_m3::event_completion_activity(&mut gate.0, seed, fixture);"
"typed_layer_handoff","typed_handoff","PX8","src/post_m7_ds5_closure_emission.rs",237,"frozen_m3",0,0,"        let state = frozen_m3::ds4_event_state(&gate.0);"
"typed_layer_handoff","typed_handoff","PX8","src/post_m7_ds5_closure_emission.rs",24,"FROZEN_M7_HANDOFF_SHA256",0,0,"pub const FROZEN_M7_HANDOFF_SHA256: &str ="
"typed_layer_handoff","typed_handoff","PX8","src/post_m7_ds5_closure_emission.rs",246,"frozen_cumulative",0,0,"    use super::frozen_cumulative;"
"typed_layer_handoff","typed_handoff","PX8","src/post_m7_ds5_closure_emission.rs",274,"frozen_cumulative",0,0,"        credit: &mut frozen_cumulative::Credit,"
"typed_layer_handoff","typed_handoff","PX8","src/post_m7_ds5_closure_emission.rs",318,"frozen_cumulative",0,0,"        let update = consequence && frozen_cumulative::differential(credit, connected);"
