surface,status,evidence
blank_construction,FIXTURE-BOUND,"event gate acquires generated standard_stream histories; request path installs fixed roles/program"
anonymous_external_arrival,NEW-REPRESENTATION,"M8 consumes generated Episode relations/query and has no raw-arrival adapter"
continuous_advancement,SEMANTIC-BOUNDARY,"execution calls begin_episode and erase_temporary"
outward_crossing,EXTRACTABLE,"anonymous role emits carried opaque identity into PhysicalRun crossings"
learning_update,FIXTURE-BOUND,"M6 update synthesizes productive/contrast encounters and raw consequence from seed"
ordinary_transient_decay,SEMANTIC-BOUNDARY,"temporary lookup state is explicitly erased after evaluator-delimited execution"
snapshot_restore,ABSENT,"report Snapshot is evaluator aggregation; no cumulative organism state snapshot/restore exists"
complete_permanent_fingerprints,ABSENT,"component fingerprints exist; no complete cumulative runtime fingerprints exist"
evaluator_only_observation,ABSENT,"no separate reusable cumulative runtime observer surface exists"
first_missing,blank_construction,"mechanical extraction stops before inventing raw-arrival representation or routing"
classification,H0-PROBE-NEGATIVE,"authoritative cumulative mechanism is not mechanically extractable under frozen H0 rules"
