label,category,name,visibility,evidence,use_site,necessity,observed_effect_or_status
DS-E0,hard organism-visible,fresh anonymous spikes,episode-local,disjoint acquisition/evaluation IDs across every seed,RawActivity.spikes and candidate enumeration,required,current membership cannot be formed without occurrences
DS-E0,hard organism-visible,local temporal precedence,episode-local relative,complete signed temporal matrix and local ranks,canonical_candidate,required,shuffled timing causes 16/16 abstention at GATE
DS-E0,hard organism-visible,physical directional propagation,episode-local relative,complete signed propagation matrix and ranks,canonical_candidate,required,shuffled propagation causes 16/16 abstention at GATE
DS-E0,hard organism-visible,ordinary environmental consequence,post-proposal transient,only the fired candidate receives binary consequence,FormationLearner.acquire_episode,required,random and misleading consequence controls do not recover evaluator competence
DS-E0,hard organism-visible,episode lifetime,lifecycle boundary,temporary EventRelations is a stack value and retained counters are zero,form serialize_once and episode loop,required,retained occurrences and memberships are exactly zero
DS-E0,learned persistent,anonymous relation shape,persistent,temporal and propagation matrices only,FormationLearner.shapes,required,four useful shapes mature and one negative decoy shape remains generic
DS-E0,temporary learned,current membership,episode-local,EventRelations.members is created only by FormationLearner.form,serializer input,required,E0-B receives already-selected membership
DS-E0,temporary learned,relative temporal relations,episode-local,EventRelations.temporal and temporal_rank,serializer input,required,all DS1 tick fields are direct copies
DS-E0,temporary learned,relative propagation relations,episode-local,EventRelations.propagation propagation_rank and attachment_equivalence,serializer input,required,all DS1 position/window fields are direct copies
DS-E0,evaluator-only,correct current membership,evaluator-only,Fixture.selected read only by consequence/scoring closures after candidate proposal,acquisition consequence and evaluation score,not organism input,never enters RawActivity FormationLearner EventRelations or serializer
DS-E0,evaluator-only,misleading membership,evaluator-only,Fixture.misleading supplies only a negative-control consequence contingency,misleading_consequence_control,not organism input,does not recover evaluator competence
DS-E0,evaluator-only,seed arm and control labels,evaluator-only,runner and fixture dispatch only,run and runner output,not organism input,no label enters persistent or temporary decision state
DS-E0,evaluator-only,fixed-window proximity baseline,evaluator-only separate function,0/16 GATE evaluator success,proximity_baseline,forbidden from organism,shares no state or decision with E0
DS-E0,evaluator-only,work/storage counters,evaluator-only measurement,ledger reconciles exactly after decisions,WorkLedger and size_of,not organism input,no counter is read by candidate selection or formation
DS-E0,forbidden,SAME or stable filler token,absent,types and state contain no filler value,static and dynamic leak audit,forbidden,zero channel
DS-E0,forbidden,event container window or group ID,absent,RawActivity has spikes and propagation only; lifecycle is external,static state audit,forbidden,zero channel
DS-E0,forbidden,supplied fixed triple,absent,all combinations are enumerated from the flat stream,FormationLearner.candidates,forbidden,5432 MICRO and 10808 GATE triples enumerated across the full matrix
DS-E0,forbidden,pair or witness label,absent before E0-B,temporary members use canonical array only,E0-A state audit,forbidden,DS1 names occur only in frozen destination schema
DS-E0,forbidden,source target or boundary truth,absent,no semantic endpoint type or field exists,E0 state and call graph audit,forbidden,zero channel
DS-E0,forbidden,evaluator coactivity or membership window,absent,attachment_equivalence is computed from E0 propagation relations before serialization,canonical_candidate and serializer audit,forbidden,serializer does not create a relation
DS-E0,forbidden,stable occurrence across episodes,absent,fresh sets are disjoint and persistence has no Occurrence field,dynamic and schema audit,forbidden,zero retained occurrences
DS-E0,forbidden,future destination,absent,no destination type or field exists,state audit,forbidden,zero channel
DS-E0,forbidden,economics pass-fail or control label,absent from decisions,report values exist only after work,call graph audit,forbidden,zero channel
DS-E0,forbidden,serializer search inference or recomputation,absent,serialize_once accepts only EventRelations and direct-copies nine DS1 fields,serializer provenance audit,forbidden,96 exact GATE copies plus one independent read-only probe per seed
DS-E0,forbidden,isolated DS3 shortcut,absent,no DS2+ module compiler or shortcut is called,repository diff and call graph audit,forbidden,zero channel
DS-E0,frozen downstream,frozen DS1 learner,read-only,marked extraction hash adec6a422e69e7f90bff6482776ea9aa91ae89e5e8d59183f6228165f9f7ff0e,read-only consumption probe,interface proof only,default frozen learner has no acquired mature pattern and returns unavailable
DS-E0,lineage,M0 authority,read-only,exact base and unchanged M0 source fingerprints,lineage audit,authoritative,M0 remains authoritative
DS-E0,lineage,M1 existence,nonexistent,no commit artifact state or claim creates M1,readiness report,forbidden in this lane,M1 does not exist
