dependency,isolated_or_prior_state,after_r0_state,cumulative_stage,status,interpretation
anonymous local event,available from supplied grouping,E0 learned event,1,READY,reconstructed enabling representation
executable affordance menu,supplied in isolated DS1,A1 learned physical roots,2,READY,reconstructed action surface
alternative multiplicity,supplied in isolated DS1,two independently formed roots/handles,3,READY,reconstructed opaque choice arity
choice invocation,frozen DS1 choose existed,one actual frozen choice,4,READY,unchanged choice physics composes
selected action execution,isolated harness applied choice,one live CELL/ARROW/SPIKE route,5,READY,hidden executor absent
post-action evidence,isolated apply caller supplied consequence,R0 anonymous temporary return relation,6,READY,aftermath now organism-visible
evidence interface,isolated boolean passed to apply_consequence,four anonymous relation fields,7,READY,representation exists without meaning
evidence-to-selected-action update coupling,isolated harness call,zero source edges and zero runtime updates,8,COLLAPSE,next exact missing prerequisite
boundary-role strength separation,isolated apply_consequence training,not executed,9,BLOCKED,downstream of stage 8
held-out boundary-role reconstruction,isolated trained learner,not executed,10,BLOCKED,downstream of stage 8
