channel,producer,consumer,lifetime,persistent,legal,mechanical_evidence
fresh anonymous occurrence,episode fixture,DS-E0 member CELL,episode,no,yes,"acquisition/evaluation sets disjoint; relabel control passes"
DS-E0 temporary membership,EventFrame,raw coactivity traversal,episode,no,yes,"only EventFrame.members gates observed paths"
relative temporal support,ObservedSpike ticks,RouteTemplate.temporal_deltas,learned shape,yes,yes,"relative i8 deltas only; absolute timing transfer passes"
relative propagation support,ObservedPropagation,observed_paths,episode,no,yes,"ordinary observation traversal; not executor adjacency"
anonymous coactivity support,RouteTemplate evidence,form_routes,learned shape,yes,yes,"support episodes >=3 gates plastic installation"
episode route CELLs,form_routes,root executor,episode,no,yes,"three fresh bound CELLs installed per supported path"
episode route ARROWs,form_routes,root executor,episode,no,yes,"two fresh live ARROWs installed before bridge"
opaque root reference,form_routes,ActionBridge,episode,no,yes,"one copied RouteRoot per installed root"
opaque handle,ActionBridge,execute_handle,episode,no,yes,"lookup returns root reference only"
live adjacency,TemporarySubstrate.arrows,execute_handle,episode,no,yes,"executor follows endpoints/generation from root SPIKE"
episode OccurrenceId,episode fixture,persistent RouteTemplate,retained,no,no,"persistent type has only deltas/incidence and support count"
concrete CELL destination,episode route,persistent RouteTemplate,retained,no,no,"no CellId/Occurrence/binding in persistent template/evidence"
semantic role or opcode,none,none,none,no,no,"mechanical source audit semantic sites=0"
evaluator alternative enumeration,none,route installer,none,no,no,"installer receives raw activity; baseline executable event roots=0"
evaluator rank/correctness,none,formation or bridge,none,no,no,"mechanical evaluator-selection sites=0"
DS1 choice,none,DS-A0,none,no,no,"owned call-surface audit choose calls=0"
DS1 credit/apply,none,DS-A0,none,no,no,"owned call-surface audit apply calls=0"
post-action consequence,none,root executor,none,no,no,"executor body sink audit plus apply edges derives paths=0"
isolated DS1 adapter,none,DS-A0,none,no,no,"no adapter or compatible call edge"
retained episode handle/root,destroyed episode state,persistent learner,retained,no,no,"cleanup leaves zero handles/roots/CELLs/ARROWs/raw observations"
