row_id,stage,family,spec_fingerprint,b_effect,e_effect,prediction_diff,b_false_conjunction,e_false_conjunction,b_row_pass,e_row_pass,b_work,e_work,b_persistent_bytes,e_persistent_bytes,b_quiescent,e_quiescent
f1-aa-same-tick-s307-m0-r0-t2-c1-l0-d0-tr0-a2,gate,same_source_bursts,15476799038817928963,1,1,false,true,true,false,false,21,19,160,160,true,true
f1-aa-spacing-s307-m0-r0-t2-c1-l0-d-1-tr0-a2,gate,same_source_bursts,2730699651663080079,0,0,false,false,false,true,true,9,9,160,160,true,true
f1-ab-distinct-s307-m0-r0-t2-c1-l0-d-1-tr0-a2,gate,same_source_bursts,2582145579837361307,0,0,false,false,false,true,true,14,19,272,272,true,true
f1-aa-spacing-s307-m0-r0-t2-c1-l0-d0-tr0-a2,gate,same_source_bursts,8333584082278840517,1,1,false,true,true,false,false,21,19,160,160,true,true
f1-ab-distinct-s307-m0-r0-t2-c1-l0-d0-tr0-a2,gate,same_source_bursts,10142441490773925178,1,1,false,false,false,true,true,35,30,272,272,true,true
f1-aa-spacing-s307-m0-r0-t2-c1-l0-d1-tr0-a2,gate,same_source_bursts,1152123577609247267,0,0,false,false,false,true,true,9,9,160,160,true,true
f1-ab-distinct-s307-m0-r0-t2-c1-l0-d1-tr0-a2,gate,same_source_bursts,14065244456609257309,0,0,false,false,false,true,true,14,18,272,272,true,true
f1-aa-spacing-s307-m0-r0-t2-c1-l0-d2-tr0-a2,gate,same_source_bursts,15674847809140801401,0,0,false,false,false,true,true,9,9,160,160,true,true
f1-ab-distinct-s307-m0-r0-t2-c1-l0-d2-tr0-a2,gate,same_source_bursts,4354608039916987907,0,0,false,false,false,true,true,14,18,272,272,true,true
f1-aa-spacing-s307-m0-r0-t2-c1-l0-d3-tr0-a2,gate,same_source_bursts,9733549959945557211,0,0,false,false,false,true,true,9,9,160,160,true,true
f1-ab-distinct-s307-m0-r0-t2-c1-l0-d3-tr0-a2,gate,same_source_bursts,10995604739492367513,0,0,false,false,false,true,true,14,18,272,272,true,true
f1-aa-spacing-s307-m0-r0-t2-c1-l0-d4-tr0-a2,gate,same_source_bursts,7305084746408945101,0,0,false,false,false,true,true,9,9,160,160,true,true
f1-ab-distinct-s307-m0-r0-t2-c1-l0-d4-tr0-a2,gate,same_source_bursts,4134735240088448715,0,0,false,false,false,true,true,14,18,272,272,true,true
f1-aa-spacing-s307-m0-r0-t2-c1-l0-d5-tr0-a2,gate,same_source_bursts,4638576236831247475,0,0,false,false,false,true,true,9,9,160,160,true,true
