dependency,visibility,status,purpose
M1 authoritative ancestor,evaluator/frozen lineage,required,keeps cumulative prefix fixed
RT0 retained A1 support asset,organism-visible persistent structure,required,provides the mature direction under validation
CP0 consequence-to-probation coupling,organism-visible local learning,required,provides frozen differentiated support history
A1 proposal/probation/install/execute,organism-visible substrate mechanics,required,provides generic reopening and physical route execution
D3 normalized structural signal,organism-visible anonymous physical relation,required,provides current compatibility evidence
fresh E0 occurrences,organism-visible temporary state,required,grounds retained and reopened routes without cached identity
exact structural mismatch,organism-visible local comparison,required,invalidates only incompatible temporary routes
direction slot,evaluator-only,forbidden,would supply the DS2 answer
source/target or cause/effect label,evaluator-only,forbidden,would restore causal metadata
correctness/reward/polarity,evaluator-only,forbidden,would add semantic credit
historical occurrence or handle identity,evaluator-only,forbidden,would cache a prior episode
new learner or candidate type,absent,forbidden,reopening must use existing A1 mechanics
direct support-count mutation,absent,forbidden,probation must change only through existing observe physics
